5.30166930378,-2.1263248541,-2.36487132839,-10.8220423063,-8.02754576251,-1.02370534225,4.48727879125,3.11667509055,-25.8534612469,-6.49942139276,1.24600623912,-16.1141948305,11.2475391521,33.027729892,-0.752904115721,-41.7046499171,37.5210573658,0.616459263369,0.528750578883,-16.7914107655,-28.5275664893,-2.66368416848,-1.34741667031,25.3740967486,-3.20128649615,-7.73603184424,2.80969380445,0.351401497581,4.94139789877,-3.10875936453,-3.39238189265,95.7307269822,-160.611708464,-22.8337090756,10.7085290623,183.095208635,-53.2566784996,32.7764933531,4.65745908393,-22.1009915158,-0.274326364349,19.755731126,2.20694037871,-8.2008045743,-1.17475570967,-17.7755408676,3.79065087486,22.2479718128,27.0328266547,-3.88741679636|
-0.46,-0.58,0.42,0.46,-0.81,-0.12,0.75,0.13,-0.03,0.63,0.16,-0.51,-0.48,0.88,-0.56,-0.17,0.17,0.12,-0.07,-0.71,0.68,0.43,-0.3,0.91,-0.28,0.63,0.15,-1.0,0.49,0.76,0.59,-0.27,0.67,0.86,-0.96,-0.55,0.34,-0.46,0.76,0.73,0.56,-0.19,0.16,0.05,0.11,0.92,-0.15,-0.04,-0.11,0.44|
0.07,0.32,-0.19,0.09,0.97,0.14,0.87,-0.56,-0.52,-0.85,0.47,-0.24,-0.67,-0.33,0.05,0.82,-0.29,0.58,0.33,-0.42,-0.01,-0.51,0.44,-0.55,-0.74,0.7,-0.38,-0.39,0.21,0.17,0.3,0.59,0.22,-0.26,-0.16,0.31,-0.29,0.3,0.45,0.83,0.93,-0.48,-0.03,0.79,-0.66,0.59,-0.73,0.88,0.06,0.52|
-0.48,-0.12,0.97,-0.99,-0.69,-0.56,0.47,0.02,-0.84,0.41,0.76,0.09,0.86,-0.85,-0.93,0.25,0.52,-0.25,0.4,0.15,0.75,-0.32,0.11,-0.59,-0.55,-0.97,0.42,-0.77,-0.59,0.06,-0.81,-0.39,-0.18,-0.57,0.0,0.51,0.59,-0.93,0.31,0.68,-0.28,-0.87,-0.47,-0.89,0.01,0.98,0.55,-0.81,0.68,-0.44|
-0.49,0.33,-0.8,-0.18,-0.89,-0.04,-0.61,-0.33,-0.15,0.3,0.4,-0.56,-0.48,0.5,0.39,-0.73,0.2,-0.18,-0.39,-0.96,0.12,-0.95,0.82,0.01,0.69,0.29,-0.84,0.09,0.85,-0.97,0.21,-0.44,0.11,-0.85,-0.84,-0.48,0.59,-0.73,0.17,-0.72,-0.57,-0.19,0.85,0.16,0.32,-0.22,-0.63,0.98,0.44,-0.46|
-0.74,-0.1,-0.32,0.8,-0.13,0.98,0.54,-0.02,-0.82,-0.22,-0.03,-0.28,-0.69,0.67,-0.56,-0.34,-0.46,-0.03,-0.42,0.04,0.05,0.93,0.87,-0.55,0.12,0.34,-0.87,0.5,-0.65,-0.73,0.31,-0.41,0.04,0.79,0.0,-0.36,-0.58,0.05,-0.87,-0.39,0.35,-0.03,0.62,-0.78,-0.22,0.66,0.41,-0.73,0.01,-0.6|
0.28,-0.88,-0.39,-0.54,-0.02,-0.68,-0.82,-0.95,-0.54,-0.28,-0.27,-0.77,-0.43,0.81,-0.86,-0.93,-0.49,0.6,0.94,0.45,-0.7,-0.97,0.89,0.73,0.94,-0.53,-0.85,0.1,0.02,0.97,-0.13,-0.31,0.25,0.34,0.83,0.13,0.29,-0.78,-0.76,0.82,0.14,0.85,0.58,-0.83,-0.81,-0.17,-0.08,0.21,-0.6,0.23|
-0.59,0.75,0.42,0.18,0.72,0.58,-0.69,0.45,0.71,0.07,-0.18,0.08,-0.96,-0.98,0.14,-0.68,-0.76,-0.78,-0.78,-0.32,-0.15,-0.93,-0.31,-0.26,-0.33,0.38,0.37,0.41,-0.19,-0.2,0.27,0.25,0.31,-0.44,-0.89,-0.83,-0.62,-0.12,-0.82,-0.03,0.47,0.03,0.65,-0.55,0.81,-0.42,-0.09,-0.06,-0.02,-0.29|
0.06,-0.59,0.06,-0.28,-0.07,-0.8,-0.66,-0.48,-0.45,-0.49,-0.88,0.77,-0.87,0.56,0.07,0.87,0.87,0.8,0.05,0.64,-0.16,0.53,0.52,0.99,0.4,0.72,-0.48,0.39,-0.47,0.49,-0.42,0.31,0.01,0.88,-0.7,-0.96,-0.93,0.92,-0.64,0.16,0.65,0.68,-0.86,-0.58,-0.52,-0.75,0.92,0.3,-0.9,-0.03|
0.17,0.15,-0.13,0.2,-0.22,-0.86,-0.76,0.72,0.59,-0.23,0.43,0.92,-0.64,-0.23,-0.13,0.12,-0.86,0.41,0.79,0.53,-0.39,-0.78,0.81,-0.82,0.65,0.34,0.35,0.31,-0.42,-0.57,-0.88,0.29,0.02,0.73,0.03,0.05,-0.8,-0.43,-0.38,0.82,-0.21,0.68,-0.96,-0.3,-0.41,-0.58,0.19,-0.89,-0.33,-0.63|
